id,itemName,price,material,size,design
1,Standard Vinyl Banner,50.0,Vinyl,3x6ft,Advertising
2,Promotional Banner,45.0,Vinyl,4x8ft,Team Logo
3,Event Banner,60.0,Polyester,4x8ft,Event Name
4,Outdoor Show Banner,45.0,Vinyl,3x10ft,Grand Opening
5,Custom Banner,55.0,PVC,2x6ft,Custom Design
6,Trade Show Banner,45.0,Mesh,3x8ft,Team Logo
7,Birthday Banner,40.0,Paper,2x4ft,Happy Birthday
8,Graduation Banner,35.0,Vinyl,3x5ft,Congratulations
9,Holiday Banner,40.0,Fabric,2x4ft,Season's Greetings
10,Sports Banner,45.0,Vinyl,4x8ft,Team Logo
